segment,buy_races,total_points,stake_yen,payback_yen,profit_yen,roi_pct,hit_rate_pct,manshu_hit_rate_pct
戸田,8,25,2500,52780,50280,2111.2,25.0,12.5
浜名湖,7,22,2200,9450,7250,429.55,14.29,0.0
丸亀,7,27,2700,0,-2700,0.0,0.0,0.0
若松,7,24,2400,0,-2400,0.0,0.0,0.0
宮島,6,22,2200,0,-2200,0.0,0.0,0.0
平和島,5,9,900,21300,20400,2366.67,20.0,20.0
下関,5,14,1400,0,-1400,0.0,0.0,0.0
大村,4,14,1400,0,-1400,0.0,0.0,0.0
尼崎,4,11,1100,0,-1100,0.0,0.0,0.0
津,4,13,1300,0,-1300,0.0,0.0,0.0
びわこ,2,5,500,0,-500,0.0,0.0,0.0
住之江,2,8,800,0,-800,0.0,0.0,0.0
児島,2,6,600,0,-600,0.0,0.0,0.0
蒲郡,2,9,900,0,-900,0.0,0.0,0.0
多摩川,1,4,400,19110,18710,4777.5,100.0,100.0
鳴門,1,6,600,13340,12740,2223.33,100.0,100.0
三国,1,4,400,0,-400,0.0,0.0,0.0
常滑,1,5,500,0,-500,0.0,0.0,0.0
